preferredLabel	conceptUri	skillType	altLabels	hiddenLabels	description
håndtere forespørgsler fra kunder vedrørende fragt	http://data.europa.eu/esco/skill/00a4e92d-e410-42b8-ba2d-d7b3febf49e0	skill/competence			Behandle anmodninger fra havnebrugere og kunder på container-, forsendelses- eller fragtområdet.
udnytte avancerede kliniske kompetencer	http://data.europa.eu/esco/skill/00abcddb-cbd4-477f-9aa0-9f27b32e312b	skill/competence			Anvende avancerede kliniske kompetencer i bestemte sammenhænge efter specifik uddannelse for at imødekomme kundens behov.
trinvis udvikling	http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876	knowledge			Den trinvise udviklingsmodel er en metode til udformning af softwaresystemer og -applikationer.
anvendelse af specialudstyr i dagligdagen	http://data.europa.eu/esco/skill/00c51318-4ea9-4d37-9cd8-74680583d203	knowledge			Specialudstyr, proteser og ortopædiske artikler anvendt til støtte for daglige aktiviteter, som f.eks. kørestole.
saveteknikker	http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe	knowledge			Forskellige saveteknikker til anvendelse af hånd- og elektriske save.
producere guitarkomponenter	http://data.europa.eu/esco/skill/00cd1d60-782f-48e7-9a7b-b518f2b146b8	skill/competence			Vælg det relevante tonetræ, materialer og værktøjer og bygge de forskellige guitarkomponenter som f.eks. resonansbund, gribebræt, guitarhoved, hals og bro.
betjene landbrugsmaskiner	http://data.europa.eu/esco/skill/00dd3271-077f-4a12-a958-e297fdd724ce	skill/competence			Betjene motordrevet landbrugsudstyr, herunder traktorer, ballepressere, sprøjter, plove, slåmaskiner, mejetærskere, jordflyttende udstyr, lastbiler og vandingsudstyr.
styre pyrotekniske materialer	http://data.europa.eu/esco/skill/00e261cc-669c-4b94-8950-d038eceb92d8	skill/competence			Kontrol af beholdningen af pyrotekniske materialer, give dem videre til arbejdstagerne og kontrollere af lagerperiodens udløb for at fjerne de pyrotekniske artikler, der allerede er udløbet, og placere dem i metalbeholdere, hvorfra de forarbejdes yderligere.
garantere kundetilfredshed	http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00	skill/competence			Håndtere kundeforventninger på en professionel måde og foregribe og imødekomme deres behov og ønsker. Tilbyde fleksibel kundeservice for at sikre kundetilfredshed og -loyalitet.
fremstille beklædningsgenstande	http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982	skill/competence			Fremstilling af enten massefremstillede eller specialfremstillede beklædningsgenstande af forskellige typer, montering og samling af beklædningsartikler under anvendelse af processer som f.eks. syning, limning, klæbning. Montere beklædningsartikler med sting, søm, f.eks. kraver, ærmer, forpartier, rygpartier, lommer.
hærde tobaksblade	http://data.europa.eu/esco/skill/00eada7f-0b83-4f0c-af81-d7f92d838000	skill/competence			Trække fugt ud af tobaksbladene, så snart tobakken er høstet, ved hjælp af forskellige former for processer, såsom lufttørring, flue-curing eller soltørring.
udvikle et genoptræningsprogram	http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696	skill/competence			Udvikle et genoptræningsprogram med henblik på at hjælpe patienter med at genopbygge deres færdigheder og genskabe deres tillid.
vedligeholde beholdning af rengøringsmaterialer	http://data.europa.eu/esco/skill/00ec5333-e570-477b-9017-2e95fea0150a	skill/competence			Følge lageret af rengøringsmaterialer, bestille nye materialer, når lageret er tomt, og nøje følge deres anvendelse for at opretholde en konstant forsyning.
koldvulkanisering	http://data.europa.eu/esco/skill/00eefa32-9f77-4500-abe9-20afc7924a9d	knowledge			Teknik, der anvendes til at reparere defekte dæk, især cykeldæk, og som består i slibning af området omkring flængen, påføring af en vulkaniseringsopløsning og fastgørelse af en lap til at lukke flængen.
supervisere rengøringsaktiviteter	http://data.europa.eu/esco/skill/00f12ec1-b416-4e3c-8ed7-c4f875c6b681	skill/competence	"kontrollere rengøringsaktiviteter
føre kontrol med rengøringsaktiviteter
supervisere rengøringen
føre tilsyn med rengøringsaktiviteter"		Føre tilsyn med den daglige drift og rengøring af lokaler og offentlige områder for at sikre vedvarende aktiviteter.
handle som kontaktperson under hændelse med udstyr	http://data.europa.eu/esco/skill/00f2eee1-cd4d-4a45-ae10-b6060f53ad5d	skill/competence			Optræde som den person, der skal kontaktes, når der indtræffer en hændelse. Deltage i undersøgelsen ved at give indsigt.
planlægge anlægsarbejder	http://data.europa.eu/esco/skill/00fc7575-0cee-4b12-ade5-795cb2a4479a	skill/competence			Planlægge og gennemføre arbejdsplaner, der passer til anlægsaktiviteter, herunder informationsfasen, hvor anlægsprojektet drøftes med en kunde efter en række skitser, planer og design.
rådgive kunder	http://data.europa.eu/esco/skill/00ff06cc-103f-4c85-b5df-6f75acff6abf	skill/competence			Informere folk om import- og eksportrestriktioner, tarifsystemer og andre kunderelaterede emner.
lede universitetsfakultet	http://data.europa.eu/esco/skill/011711eb-f20b-4d64-84d7-17b8979946dc	skill/competence			Føre tilsyn med og evaluere universiteternes støttepraksisser, de studerendes trivsel og lærernes resultater.
udvikle terminologidatabaser	http://data.europa.eu/esco/skill/0121ac3b-775b-4faf-b86d-0078623674bc	skill/competence			Indsamle og indsende termer efter at have kontrolleret deres legitimitet med henblik på at opbygge terminologidatabaser på en række områder.
vurdere fødevarers ernæringsmæssige karakteristika	http://data.europa.eu/esco/skill/01267c89-b27f-4de0-b555-3683c5a5d66e	skill/competence			Vurdering af fødevarers ernæringsmæssige karakteristika til direkte konsum med henblik på en bedre sund kost.
reparere elcykler	http://data.europa.eu/esco/skill/012795fe-5f85-4d12-a10e-9dabda4ea05f	skill/competence			Kontrollere, at elektriske komponenter, ledninger og sikringer virker. Kontrollere, om der er skade og funktionsfejl og bestemme årsagen. Demontering og reparation af komponenter til cykler som f.eks. drevsystemer, koblingssystemer, strømforsyningssystemer og lyssystemer. Justere mekanisk og elektronisk koblingsudstyr, drev, bremsesystemer og stelkomponenter. Kontrollere cyklens cykelvæsker og se, om den har behov for genopfyldninger eller udskiftninger.
