preferredLabel	conceptUri	skillType	altLabels	hiddenLabels	description
lave tegninger af scenekonstruktion	http://data.europa.eu/esco/skill/36ca973f-7997-46f6-82f2-75277a003f45	skill/competence			Give en visuel beskrivelse af de forskellige dele af scenen med henblik på at udvikle planen og dele den med andre.
fjerne defekte produkter	http://data.europa.eu/esco/skill/36cf8d2c-3463-4147-8ea3-c423280087ab	skill/competence			Fjerne defekte materialer fra produktionslinjen.
anvende teknikker til kvalitetskontrol af fodtøj og lædervarer	http://data.europa.eu/esco/skill/36dc0b74-84ee-4be2-a91c-0a91b4576a21	skill/competence			Kvalitetskontrollere fodtøj og lædervarer. Analysere materialet, bestanddelen eller modellen ved hjælp af relevante kvalitetskriterier. Sammenligne materiale og andre bestanddele, der er modtaget fra leverandørerne, eller det færdige produkt, med standarder. Anvende visuel observation og rapportere om resultaterne. Kontrollere mængden af læder på lageret. Indsende bestanddele til laboratorietest efter behov. Definere de korrigerende foranstaltninger, der skal træffes, når der er behov for det.
administrere fartøjsflåde	http://data.europa.eu/esco/skill/36dc2bd2-3d9a-4a84-ad70-918a539c4311	skill/competence			Administrere en fartøjsflåde, der er ejet af et selskab, og kende den nøjagtige flådekapacitet, vedligeholdelseskravene og de nødvendige officielle autorisationer.
foretage inspektioner	http://data.europa.eu/esco/skill/36e9c099-614e-44f1-ab0a-5e6fda4a0763	skill/competence			Foretage sikkerhedsinspektioner på områder, der giver anledning til betænkeligheder, for at identificere og indberette potentielle farer eller brud på sikkerheden samt tage skridt for at maksimere sikkerhedsstandarderne.
forvalte pensionsmidler	http://data.europa.eu/esco/skill/36ece87e-32bc-4fb5-8773-2aa5160cb93b	skill/competence			Forvalte de pengebeløb, som enkeltpersoner eller organisationer indbetaler over mange år, hvilket skal sikre, at de får mange pensionsydelser. Sikre, at de betalte beløb er korrekte, og at der føres detaljerede regnskaber.
rengøre gader efter ulykker og hændelser	http://data.europa.eu/esco/skill/36ef5d7c-5f78-49f5-b945-569064e4ced2	skill/competence			Reagere hensigtsmæssigt på nødsituationer med rengøring af gader efter ulykker, demonstrationer eller kraftigt snefald.
udvikle sundheds- og velfærdsplaner for fisk	http://data.europa.eu/esco/skill/36f3b02f-4511-4be9-a257-94f53513aa84	skill/competence			Udvikle en plan, der opregner risici, som skyldes udendørs faktorer, såsom rovdyr og skadedyr.
vurdere elektricitetsbehov	http://data.europa.eu/esco/skill/36fccad9-1d20-4104-bcc2-a8ea9d1ce5ea	skill/competence			Forberede og forvalte elforsyningen til forskellige områder.
samarbejde med støttepersonale	http://data.europa.eu/esco/skill/36fe44b2-af36-4467-9be8-601e64b3dbc7	skill/competence			Kommunikere med uddannelsesforvaltningen som f.eks. skolens rektor og bestyrelsesmedlemmer og med uddannelsesstøttegruppen som f.eks. undervisningsassistenten, skolevejlederen eller den akademiske rådgiver om spørgsmål vedrørende de studerendes trivsel.
analysere videnskabelige data	http://data.europa.eu/esco/skill/36ff57b0-637d-4a83-a0e8-d14f86f9f078	skill/competence			Indsamle og analysere videnskabelige data fra forskning. Fortolke disse data ud fra visse standarder og synspunkter for at kommentere dem.
skabe onlinenyhedsindhold	http://data.europa.eu/esco/skill/3703eac1-8941-4d14-b305-b03f653b08c8	skill/competence			Skabe og uploade nyhedsindhold til f.eks. websteder, blogs og sociale medier.
bruge lensometer	http://data.europa.eu/esco/skill/37055ceb-1234-4987-bc40-a3ccd59c5b26	skill/competence			Bruge et lensometer til at foretage målinger for kunder, der ikke har en recept, for at lave briller og linser.
rådgive om styrkelse af sikkerhed	http://data.europa.eu/esco/skill/370ebe1f-55a5-424f-a44e-f3c19222d63b	skill/competence			Give oplysninger og vejledning til kunder om, hvordan trusler og hændelser kan forebygges.
planlægge landbrugsproduktion	http://data.europa.eu/esco/skill/3714d0e3-0246-4fe6-b341-8dbeeab836b9	skill/competence			Planlægge og tilrettelægge tidsplaner med henblik på at fordele og tilrettelægge arbejdet i landbrugsproduktionen.
udføre kopsætningsterapi	http://data.europa.eu/esco/skill/3716971c-6cb3-460b-b00a-eb027e9bf278	skill/competence			Udføre kopsætningsterapi på et hudområde ved hjælp af glas, en behandling, som øger blodstrømningen til det område, der behandles, og giver mulighed for at behandle flere sygdomme.
bruge kunst i et behandlingsmiljø	http://data.europa.eu/esco/skill/371b386d-128f-4484-a6d7-fee0d5781314	skill/competence			Arbejde kreativt med forskellige patientgrupper i et terapeutisk miljø.
elektroencefalografi	http://data.europa.eu/esco/skill/371d4ecb-4413-4d4c-9ffb-d3ad82f1f552	knowledge			De situationer, hvor elektroencefalografi eller EEG er nødvendigt, teknikker, der kan være nødvendige, forberedelse af patientbehovene og anvendelsen af resultaterne i forbindelse med diagnosticering og patientopfølgning.
udføre produkttest	http://data.europa.eu/esco/skill/371d57e6-cc5f-4fc0-9c0c-58feb595cc5b	skill/competence			Teste forarbejdede arbejdsemner eller produkter for grundlæggende fejl.
levere sundhedsydelser til patienter i almen lægepraksis	http://data.europa.eu/esco/skill/371f44ba-4a83-4726-89d1-cb527d7ced5c	skill/competence			Levere sundhedsydelser til patienter for at vurdere, opretholde og genetablere patienternes sundhedstilstand som et led i udøvelsen af en læges erhverv.
supervisere flytning af kunstgenstande	http://data.europa.eu/esco/skill/37236b8f-0fdc-43eb-bcd3-f4f11864da5a	skill/competence			Supervisere flytning af museumsgenstande og sørge for sikkerheden.
vurdere forurening	http://data.europa.eu/esco/skill/3727f0d3-da1b-4ce3-a9cb-efe6130fe41f	skill/competence	vurdere kontaminering		Analysere tegn på forurening. Rådgive om, hvordan man oprenser.
opfatte sammenhængen	http://data.europa.eu/esco/skill/373be061-01a2-421b-abf0-269ac36e847d	skill/competence			Bruge situationer og sammenhænge for bedre at forstå betydningen af, hvad der siges. Det at forstå de involverede personer og situationen, f.eks. humør og omgivelser, vil give mulighed for en mere præcis fortolkning, fordi den person, der fortolker, således bliver bekendt med talerens holdning.
tværfaglig kommunikation på det psykosociale område	http://data.europa.eu/esco/skill/374062e6-29ce-4ccb-b492-9e82e0357176	knowledge			De kendetegn, midler og kommunikationskanaler, der anvendes mellem fagfolk på det psykosociale område, den specialiserede terminologi og type støtte.
vise lederskab	http://data.europa.eu/esco/skill/3740b2a0-c94e-4116-bf18-f9fdd5b59f56	skill/competence			Lede og påvirke andre med henblik på at fremme og bidrage til politikudvikling, fortalervirksomhed, udvidelse af grænser og strategi på forskellige niveauer.
betjene kornrensemaskine	http://data.europa.eu/esco/skill/374dcbaf-1768-4fe2-9176-6642f88af46d	skill/competence			Starte en automatisk rensemaskine, der blæser og fjerner fremmede partikler såsom snavs, grene og endda sten fra hele korn, og som sender renset korn til opbevaringstanken til videre forarbejdning.
indsmeltningstråde	http://data.europa.eu/esco/skill/374ff115-fc97-4b64-afc1-86ef14a25e4d	skill/competence			Fastgøre og isolere elkabler eller kommunikationskabler eller -tråde.
udarbejde retningslinjer for fremstilling	http://data.europa.eu/esco/skill/37520413-563e-4d99-a14c-1c6dca3cf833	skill/competence			Udarbejde procedurer og retningslinjer for at sikre, at national lovgivning og brancheregler overholdes af fabrikanterne på både det internationale og det indenlandske marked.
dyppebelægning	http://data.europa.eu/esco/skill/37533674-1751-4c5c-882f-f0ff935a8cae	knowledge			De forskellige trin i fremstillingen af et emne i et overfladebehandlingsmateriale, herunder nedsænkning, opstart, aflejring, afvanding og eventuelt fordampning.
udføre krisebehandling	http://data.europa.eu/esco/skill/3757c242-0042-4940-aedb-2af63e080dba	skill/competence			Reagere metodisk på en forstyrrelse eller et sammenbrud i en persons, families, gruppes eller lokalsamfunds normale eller almindelige funktion.
fødevarematerialer	http://data.europa.eu/esco/skill/3761780c-a40f-409e-9320-4de0ec25472a	knowledge			Kvaliteten og omfanget af råmaterialer, halvfærdige produkter og slutprodukter i en bestemt fødevaresektor.
skrive latin	http://data.europa.eu/esco/skill/37624859-cbb6-43cb-a523-aa450877821a	skill/competence			Skrive tekster på latin.
samle kameraer	http://data.europa.eu/esco/skill/3762949f-dddc-449b-b705-82518b4d0ec6	skill/competence			Montere de komponenter, der skal være i kameraet, f.eks. blænden, spejlet, blitzpæren, billedprocessoren, skærmen, batteriet, pentagonprismen, søgeren og kameralinsen. Linser placeres mekanisk ved hjælp af låseringe med gevind og ved hjælp af klæbecement på den ydre cylindriske kant for at holde linsen på plads.
overvåge udviklingen inden for tekstilfremstilling	http://data.europa.eu/esco/skill/3767a7e2-2f0c-41fb-aa14-40af1e00d430	skill/competence			Holde sig ajour med den seneste udvikling inden for teknikker og teknologier til fremstilling og forarbejdning af tekstiler.
opdatere procedureinstrukser	http://data.europa.eu/esco/skill/376bc7c6-085e-4a5f-a6a6-6fa8d2c15ca5	skill/competence			Sørge for, at lufthavnens proceduremæssige instrukser er ajourførte.
geografiske informationssystemer	http://data.europa.eu/esco/skill/377861af-f966-4c87-a2db-7e99904312b9	knowledge			Værktøjer, der indgår i geografisk kortlægning og positionering, såsom GPS (globale positioneringssystemer), GIS (geografiske informationssystemer) og RS (telemåling).
bruge metalforarbejdningsværktøj	http://data.europa.eu/esco/skill/37800bb3-4fbc-4786-9e3d-9266bb61f20e	skill/competence			Anvende passende metalbearbejdningsværktøjer til at manipulere metalgenstande eller -overflader. At anvende passende instrumenter til at knuse, glatte eller skærpe metaller.
administrere flyparkeringsområder	http://data.europa.eu/esco/skill/378189fa-c47b-42d7-ba6b-692b5ae351d1	skill/competence			Administrere flyparkeringsområder. Typisk har en lufthavn fire forskellige områder til at parkere fly: international luftfart, indenrigsluftfart, generel luftfart og helikoptere.
håndværk	http://data.europa.eu/esco/skill/3782a625-52c2-46c7-b585-35ba4ddc4a1d	knowledge	"kunsthåndværksmæssig kunnen
kunsthåndværk"		Evnen til at arbejde med hænderne for at skabe noget kunstnerisk.
rådgive om sikkerhedsforbedringer	http://data.europa.eu/esco/skill/37838e04-ac5f-43a5-82d0-35f42351fd60	skill/competence			Give relevante anbefalinger efter en efterforskning og sikre, at anbefalingerne tages behørigt til efterretning og opfølges, når der er behov for det.
fremstillingsprocesser	http://data.europa.eu/esco/skill/3786b61f-f22e-48d1-af8d-ad4c354534db	knowledge			De nødvendige trin for at et materiale omdannes til et produkt, samt produktets udvikling og fremstilling i fuld skala.
støtte fortvivlede personer, der ringer til alarmcentralen	http://data.europa.eu/esco/skill/378969fd-c740-4f96-9648-481a0590900e	skill/competence			Yde følelsesmæssig støtte og vejledning til personer, der ringer til alarmcentralen, for at hjælpe dem med at klare den foruroligende situation.
designe tilpassede kort	http://data.europa.eu/esco/skill/378b4cd5-ced1-4133-82e6-6d12bee2553b	skill/competence			Udarbejde kort under hensyntagen til kundens specifikationer og krav.
e-indkøb	http://data.europa.eu/esco/skill/378caeec-10a0-4162-b75c-ab374a42e93d	knowledge			De funktioner og metoder, der anvendes til håndtering af elektroniske indkøb.
kameraer	http://data.europa.eu/esco/skill/3795f2ca-7c0a-4a80-88d9-052c9d1b36c3	knowledge			Kameratyper, som f.eks. spejlreflekskameraer og peg-og-skyd-kameraer.
forstå skrevet urdu	http://data.europa.eu/esco/skill/37992d18-8d7e-4122-ad52-fa5d2d52ebde	skill/competence			Læse og forstå tekster på urdu.
overdragelse af fast ejendom	http://data.europa.eu/esco/skill/379ec127-c158-4ce3-90dc-9996678bf05c	knowledge			Retlig overdragelse af fast ejendom fra ejer til køber for at sikre, at køber er bekendt med de begrænsninger og rettigheder, der gælder for jorden.
anvende værktøjer til udvikling af indhold	http://data.europa.eu/esco/skill/37a438f3-e28c-4e32-83c5-299f047c1dc9	skill/competence			Bruge specialiserede værktøjer til indholdsudvikling, såsom indholds- og terminologistyringssystemer, oversættelseshukommelsessystemer, sprogkontrol og redigeringsprogrammer til at generere, samle og omdanne indhold i overensstemmelse med specificerede standarder.
overvåge arbejdssted	http://data.europa.eu/esco/skill/37ab8cef-8abf-43be-a71f-1e45aef610b8	skill/competence			Regelmæssigt sikre, at arbejdsforholdene på arbejdspladsen lever op til arbejdsmiljøkravene, og sikre, at det foreslåede arbejde ikke udgør en trussel mod andres fysiske integritet.
undervise i veterinærvidenskab	http://data.europa.eu/esco/skill/37b1b569-92cb-4afe-9d83-bb977114c423	skill/competence			Instruere elever i teori og praksis inden for veterinærvidenskab, mere specifikt inden for emner som veterinærmedicin, førstehjælp til dyr, dyreadfærd, dyreanatomi og dyresygdomme.
granulatstandarder	http://data.europa.eu/esco/skill/37b99c6b-9aed-4654-a933-8226e998d362	knowledge			Normerne for produktion af granulater i Europa, der bl.a. regulerer tæthed, vandindhold og granulaternes indhold.
fremstille papirslam	http://data.europa.eu/esco/skill/37ba5509-9665-4947-a5ae-f124d5769473	skill/competence			Lave papiropslam eller papirmasse fra genbrugspapir eller brugt papir med vand i blandemaskiner og blændere eller andet udstyr. Tilføje farver ved tilsætning af papir i forskellige farver.
definere sikkerhedspolitikker	http://data.europa.eu/esco/skill/37bc4dc0-1233-4008-98db-1116d0c1cfcc	skill/competence			Udforme og udarbejde et sæt skriftlige regler og politikker, der har til formål at sikre en organisation med hensyn til begrænsninger, når det gælder interaktion mellem interessenter, beskyttende, mekaniske begrænsninger og begrænsninger for dataadgang.
udjævne ru smykkedele	http://data.europa.eu/esco/skill/37c18bea-df70-4522-a7dc-423450fc7d04	skill/competence			Udjævne ru dele af smykker ved brug af håndfiler og sandpapir.
sikre, at forsendelsens indhold svarer til forsendelsesdokumentationen	http://data.europa.eu/esco/skill/37c2e1e3-a283-4e7e-827c-d89efc1ddf5c	skill/competence			Sikre, at indholdet af overførslerne stemmer overens med de respektive forsendelsesdokumenter.
planlægge inspektioner med henblik på at forebygge overtrædelse af hygiejneforskrifter	http://data.europa.eu/esco/skill/37c325b6-1818-4d38-998c-cea4a7380094	skill/competence			Hygiejnekontrol i detailbutikker og supermarkeder, identifikation og forebyggelse af overtrædelse af hygiejneforskrifter og sundhedsrisici.
vedligeholde udstyr i oliefelt	http://data.europa.eu/esco/skill/37cda11c-63a3-4941-9a66-32e8d999e708	skill/competence			Demontere, reparere eller udskifte oliefeltudstyr såsom dampmotorkomponenter eller kedler, bruge elværktøjer og håndværktøjer.
typer af aromastoffer	http://data.europa.eu/esco/skill/37e39e72-dbca-4717-863d-b9dda19b0759	knowledge			Den brede vifte af krydderier eller tilbehør fra aromatiske eller gennemtrængende grøntsagsstoffer, der anvendes som smagsgivere i fødevarer, såsom kryddernelliker, peber og spidskommen.
forhandle om kunstneriske produktioner	http://data.europa.eu/esco/skill/37e5bf28-bb5a-478b-aa96-fce66cb742c3	skill/competence			Forhandle betingelserne for kunstproduktioner med de udvalgte virksomheder inden for de budgetmæssige rammer, der er udarbejdet af forretningsledelsen.
forvalte brændstofsystemer	http://data.europa.eu/esco/skill/37f07136-54e8-4c4f-91b5-240fd64cca7d	skill/competence			Bidrage til drift af brændstofsystemer og olieoverførselsoperationer, herunder: forberedelser til brændstofpåfyldning og -overførsler, procedurer for tilslutning til og afkobling af brændstofsystemer, procedurer vedrørende hændelser, der kan opstå under brændstofpåfyldning eller overførsel, sikring mod påfyldning og overførsel af brændstof, evne til at måle og indberette tankniveauer korrekt.
organisk kemi	http://data.europa.eu/esco/skill/37f621a7-8346-472a-b6fd-a226751a27d8	knowledge			De kemiske forbindelser og stoffer, der indeholder kulstof.
dyreernæring	http://data.europa.eu/esco/skill/37fd96cf-404a-4fa3-a443-2b5d6858c010	knowledge			Aspekter af, hvordan forskellige dyrearter fodres og vandes. Forskellige typer dyrefoder, kvalitetskriterier for foder og metoder til at fodre og vande dyr.
overvåge aktiviteter	http://data.europa.eu/esco/skill/38043abb-ebc6-4e8d-89f1-fdb9cf5d53de	skill/competence			Overvåge en kunstnerisk organisations aktiviteter.
oftalmologi	http://data.europa.eu/esco/skill/3807585e-a35a-4b84-8498-70a63295609a	knowledge			Oftalmologi er et medicinsk speciale, der er nævnt i EU-direktiv 2005/36/EF.
konkretisere kunstnerisk koncept	http://data.europa.eu/esco/skill/3812bbb9-4053-4685-aed5-af825d809501	skill/competence			Vejlede de udøvende kunstnere i at kombinere forskellige dele af deres arbejde for at præcisere det kunstneriske koncept.
kontrollere mindre vedligeholdelse	http://data.europa.eu/esco/skill/381306c1-bb5a-4696-8b1b-d7a6679400bf	skill/competence			Følge op på vedligeholdelse og reparationer, der skal udføres. Løse mindre problemer og videregive større problemer til den person, der er ansvarlig for vedligeholdelse.
tapetsere	http://data.europa.eu/esco/skill/3816bddd-0765-48d6-b972-0f9aa7296a46	skill/competence			Opsætte et klargjort og opblødt stykke tapet på væggen. Markere en lige linje på væggen og hæng det øverste stykke af papiret op. Folde resten af papiret ud og påsætte det også. Fjerne luftbobler med fingerspidserne eller en børste, og besigtig det færdige resultat.
sikre stuvet gods	http://data.europa.eu/esco/skill/3818c3ab-c20b-404e-b59b-09ef2d34c263	skill/competence			Afsikre last med grundlæggende viden om opbevaringsmetoder. Sikre effektiv og sikker transport af varer.
dyrke plankton	http://data.europa.eu/esco/skill/3821d148-ef26-4658-8200-b6c6c0395167	skill/competence			Dyrke fytoplankton og mikroalger. Dyrke levende bytte såsom f.eks. rotifera eller artemia med avancerede teknikker.
netværke med butiksejere	http://data.europa.eu/esco/skill/3827a408-edf1-47e5-8eaa-e77c39fd2d0d	skill/competence			Opbygge professionelle relationer med butiksejere. Forsøge at indgå aftaler med dem om promovering af deres butikker mod en vis provision eller et vist gebyr.
anvende statistiske analyseteknikker	http://data.europa.eu/esco/skill/382c11ed-20d5-4ae7-b60e-15fec527fa6c	skill/competence	"anvende statistiske analysemetoder
bruge statistiske analyseteknikker
bruge metoder til statistisk analyse
benytte statistiske analysemetoder"		Anvende modeller (beskrivende eller inferential statistik) og teknikker (datamining eller maskinlæring) til statistisk analyse og IKT-værktøjer til analyse af data, konstatering af korrelationer og prognoser.
organisere personalerejser	http://data.europa.eu/esco/skill/382ed835-8958-4d86-8471-cff55c6df3e7	skill/competence			Planlægge alle arrangementer til forretningsrejser, herunder planlægning og reservation af transport, middage og indkvartering.
installere isoleringsblokke	http://data.europa.eu/esco/skill/383070cb-1df2-47e5-8707-9741ce5903b4	skill/competence			Installere isoleringsmaterialer i blokke på yder- eller indersiden af en konstruktion. Fastgøre blokkene ved hjælp af et klæbemiddel og en mekanisk fastgørelsesanordning.
vedligeholde interne kommunikationssystemer	http://data.europa.eu/esco/skill/3838a64c-78dc-4f3f-a0c0-9f604e33eefd	skill/competence			Opretholde et effektivt internt kommunikationssystem blandt medarbejdere og afdelingsledere.
undervise i grundskoleindhold	http://data.europa.eu/esco/skill/383955b1-9059-47e4-9028-67bb2fdb6be6	skill/competence			undervise elever i grundskolen i teori og praksis inden for en lang række emner, såsom matematik, sprog og naturfag, der bygger på elevernes eksisterende viden og tilskynder dem til at uddybe deres forståelse af de emner, de er interesseret i.
rådgive om økonomisk udvikling	http://data.europa.eu/esco/skill/384ed14c-bf1f-4a65-aef6-6e711f43c4ce	skill/competence			Rådgive organisationer og institutioner om de faktorer og tiltag, som kan fremme og sikre økonomisk stabilitet og vækst.
fotografi	http://data.europa.eu/esco/skill/38509fa4-7c06-4a4b-9622-f521f03c37b8	knowledge			Kunst og praksis med at skabe æstetisk indbydende billeder ved at optage lys eller elektromagnetisk stråling.
administrere plejehjem	http://data.europa.eu/esco/skill/385191f3-436b-4b6e-a2d5-30072aedb690	skill/competence			Planlægge og overvåge driftspersonales gennemførelse af etableringsprocedurer, sikre en korrekt og effektiv drift af ældreplejefaciliteter i forbindelse med rengøring og vaskeritjenester, madlavning og måltider samt alle andre nødvendige sundheds- og plejeydelser.
udarbejde brugerdokumentation	http://data.europa.eu/esco/skill/385479b7-5da5-4367-9763-0d15b41bb65b	skill/competence			Udvikle og organisere distribution af strukturerede dokumenter for at bistå personer, der bruger et bestemt produkt eller system, f.eks. skriftlige eller visuelle oplysninger om et anvendelsessystem, og hvordan det anvendes.
hurtig reaktion i sundhedsmæssige krisesituationer	http://data.europa.eu/esco/skill/38549a8a-dda2-4a17-893f-a007f933de8d	knowledge	"hurtig reaktion i helbredsmæssige krisesituationer
førstehjælp"		Metoder til hurtig reaktion i sundhedsmæssige krisesituationer på arbejdspladsen.
bidrage til strategiske sundhedsbeslutninger på højt niveau	http://data.europa.eu/esco/skill/3859901a-e2b4-446a-b2ee-fd32f6d9db6f	skill/competence			Bidrage til beslutningstagning på det kliniske, ledelsesmæssige og politiske plan, såsom tildeling af midler til sundhed.
procedurer for sygdoms- og restituerende behandling af dyr	http://data.europa.eu/esco/skill/385a01ed-800c-4fb2-97f4-56c367cf7f97	knowledge	procedurer for behandling af dyr		Strategier til støtte af dyr, der er ved at komme sig efter anæstesi og/eller særlige veterinærmedicinske eller kirurgiske indgreb.
sørge for sikkerhed om bord på skibe	http://data.europa.eu/esco/skill/385f27ee-5ea4-4128-bfda-63287a67b179	skill/competence			Sørge for, at der tages hensyn til de særlige sikkerheds- og sikringsforanstaltninger for passagerskibe og handelsskibe.
anbefale audiovisuelt udstyr til kunder	http://data.europa.eu/esco/skill/3864b236-ff84-4aaf-a032-7c6f14453976	skill/competence			Anbefale og yde kunderådgivning om forskellige mærker og typer af audio- og videoudstyr i overensstemmelse med kundens personlige præferencer og behov.
vedligeholde eludstyr	http://data.europa.eu/esco/skill/386774ac-fe5b-431a-b485-9aec0bf5c09e	skill/competence			Teste elektrisk udstyr for funktionsfejl. Tage højde for sikkerhedsforanstaltninger, retningslinjer for virksomheder og lovgivning vedrørende elektrisk udstyr. Rengøre, reparere og udskifte dele og forbindelser efter behov.
nedsænke ædelsten i kemikalievæske	http://data.europa.eu/esco/skill/386b5f54-e70e-45f4-bd24-3db6acec0e79	skill/competence			Bruge kemiske løsninger til at identificere ædelstens egenskaber.
høringsmetoder	http://data.europa.eu/esco/skill/38788a64-6271-40ff-9e0b-5644c38322ff	knowledge	rådgivningsmetoder		Teknikker, der anvendes til at fremme klar og åben kommunikation samt rådgivning mellem enkeltpersoner, lokalsamfund eller regeringen, som f.eks. diskussionsgrupper eller en til en-samtaler.
offentlige finanser	http://data.europa.eu/esco/skill/387ee646-0aaa-4161-ab3b-cde87ec09fdf	knowledge			Regeringens økonomiske indflydelse og funktionen af de offentlige indtægter og udgifter.
styre modtagelsen af råvarer til foder	http://data.europa.eu/esco/skill/38817744-8b79-47cd-bdb0-023e97ddfe6f	skill/competence			Sikre anskaffelse og modtagelse af råmaterialer, planlægning og gennemførelse af produktion samt lastning og distribution af foder.
præparere kurvemateriale til fletning	http://data.europa.eu/esco/skill/38822ee4-8fd8-4b1e-867e-0b72cc2080f7	skill/competence			Gøre brug af foreløbig behandling, f.eks. ved blødgøring af de valgte materialer og passe dem til i de rette mål ved hjælp af boring, opvarmning, bøjning eller anden teknik.
undersøge prisen på antikvariske produkter	http://data.europa.eu/esco/skill/38828bb5-f321-4523-af5f-d404cb7a0a24	skill/competence			Evaluere prisen og værdien af brugte eller antikvariske produkter, købe med henblik på at videresælge.
samarbejde med forlag	http://data.europa.eu/esco/skill/3882c29a-a3b4-48be-8349-00958cdfdc58	skill/competence			Etablere samarbejde med forlagsvirksomheder og deres salgsrepræsentanter.
følge op på støttebevillinger	http://data.europa.eu/esco/skill/3883f52f-9f86-45eb-9d41-80cf9b9d8e8f	skill/competence			Forvalte data og betalinger, efter at tilskuddene er blevet tildelt, f.eks. ved at sikre, at tilskudsmodtager bruger pengene på de fastsatte vilkår, kontrollere betalingsregistre eller gennemgå fakturaer.
tjekke forenelighed mellem materialer	http://data.europa.eu/esco/skill/3892f2ff-714e-4201-823d-5d6fc5bab621	skill/competence			Sørge for, at materialerne er egnede til at blive anvendt sammen og kontrollere for forudsigelige interferenser.
oplagre kontaminerede materialer	http://data.europa.eu/esco/skill/389bd8c7-32c4-4a77-b07c-572fc210d247	skill/competence			Emballere og opbevare materialer, der udgør en risiko for sundheden og sikkerheden på grund af kontaminering, og som afventer bortskaffelse eller behandling, på en måde, der er i overensstemmelse med sikkerhedsbestemmelserne.
anvende punktsvejsningsteknikker	http://data.europa.eu/esco/skill/38a32307-bb1e-4593-8fa2-e31384417649	skill/competence			Gøre brug af og arbejde med forskellige teknikker inden for svejsning af metalemner under tryk ved hjælp af elektroder, herunder projektionssvejsning, spotsvejsning med radiuselektroder, spotsvejsning med excentriske elektroder m.v.
jobtilbud	http://data.europa.eu/esco/skill/38a5c459-c591-4f76-a358-37de342bb11d	knowledge			Jobmuligheder på arbejdsmarkedet, afhængigt af det pågældende økonomiske område.
forudgående syningsprocesser og -teknikker i forbindelse med fremstilling af fodtøj og lædervarer	http://data.europa.eu/esco/skill/38a6e9b0-e502-477c-9a9f-df1363984507	knowledge			Teknologi, herunder maskiner og teknikker, til fremstilling af lædervarer og fodtøjsoverdele.
fremme fysisk aktivitet i samfundet	http://data.europa.eu/esco/skill/38a7be9c-450b-47e4-a2bc-924fbcf5c0c6	skill/competence			Fremme og sikre sport og fysisk aktivitet i  lokalsamfund, etablere effektive arbejdsrelationer med centrale kontakter i lokalsamfundet, gennemføre programmer og gøre samfundene i stand til at etablere og opretholde muligheder for deltagelse og udvikling gennem professionel rådgivning og ekspertise.
supervisere fødevarer inden for sundhedssystemet	http://data.europa.eu/esco/skill/38bceda2-af8c-40f5-943b-c9f3f13db6e6	skill/competence			Føre tilsyn med fødevarer, menuer og måltider, der uddeles i forbindelse med sundhedspleje, for at sikre overensstemmelse med sundheds- og hygiejnestandarder.
identificere finansielle ressourcer	http://data.europa.eu/esco/skill/38c640be-949e-4a4d-86ae-aba57be9d821	skill/competence			Anslå administrations- og kommunikationsudgifter, kunstnergebyrer i henhold til gældende aftaler, lejeomkostninger og produktionsomkostninger.
besvare patienters spørgsmål	http://data.europa.eu/esco/skill/38cd93b5-af8a-4528-a0f0-f8439ccb4b09	skill/competence			Besvare alle forespørgsler fra nuværende eller potentielle patienter og deres familier til en sundhedsinstitution på en venlig og professionel måde.
opbygge prognosemodeller	http://data.europa.eu/esco/skill/38d49d88-9069-467b-b29e-3cae739bdd4d	skill/competence			Forudsigende modellering er den proces, hvorved en model skabes eller vælges med henblik på at forsøge bedst muligt at forudsige sandsynligheden for et resultat.
optik	http://data.europa.eu/esco/skill/38dbdfc4-427e-4fc8-b394-b00ec29dbe3a	knowledge			Den videnskab, der undersøger elementerne og reaktionen af lys.
registrere virksomhedsejendom	http://data.europa.eu/esco/skill/38de2e21-e312-4c73-a2cf-7f8842f2ba62	skill/competence			Udarbejde en oversigt over alle virksomhedens ejendele, herunder intellektuel ejendomsret, såsom ophavsret, varemærker, patenter og forretningshemmeligheder.
overholde operationelle standarder for fartøjer	http://data.europa.eu/esco/skill/38eed4e2-7fdd-47e6-a79f-5f29bee6c52a	skill/competence			Sørge for, at fartøjernes konstruktion og tilstand er på rette operative niveau.
bistå gæster i forlystelsespark	http://data.europa.eu/esco/skill/38efd8de-d313-4aa5-abc0-cefa5ec64002	skill/competence			Bistå besøgende med at komme ind i eller ud af forlystelser, både eller skilifte.
bevare oplagrede produkter	http://data.europa.eu/esco/skill/38f77aff-980c-438a-804a-b02671fb5f9b	skill/competence			Ansvar for at bevare virksomhedens varelagre.
håndhæve parkregler	http://data.europa.eu/esco/skill/38f7be4a-f6af-4f1d-a972-8c51b27d2cea	skill/competence			Håndhæve miljølovgivning og regler vedrørende skovforvaltning. Skovfogeder håndhæver lokale, statslige og nationale regler for skovudnyttelse og bevaring af vilde dyr og planter. De udfører sikkerhedsinspektioner på campingpladser og efterforsker klager.
håndtere medicinske nødsituationer uden en læge	http://data.europa.eu/esco/skill/38febf2d-fcf8-458a-bde9-2378aca6bf9c	skill/competence			Håndtere medicinske nødsituationer såsom hjerteanfald, slagtilfælde, bilulykker og forbrændinger, når der ikke er nogen læger til rådighed.
